Number of elements: 2167 
Elements name, Alias, Datatype, Variable group name, Initial value, type of element, comment 
DEVICE1.FBU_LD.PROG1.X3KY48,’3 ”48,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X3KY37,’3 ”37,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H3250,H3250,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRK57,X– 57,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRK79,X– 79,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.KYBY50, ”¡”50,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRK68,X– 68,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRKBD,X– BD,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H226A,H226A,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H2260,H2260,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X4KY14,’4 ”14,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRKB3,X– B3,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X1KY17,’1 ”17,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.KYBY83, ”¡”83,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X3KY15,’3 ”15,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZDNS1,ZƒÕ—1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X3KY0E,’3 ”0E,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X3KY04,’3 ”04,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZPOZ2,ZœŒ«2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X2KY38,’2 ”38,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X2KY49,’2 ”49,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZVKLD4,Z¬ Àƒ4,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X2KY05,’2 ”05,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZDND3,ZƒÕƒ3,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X2KY0F,’2 ”0F,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X2KY16,’2 ”16,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZVPODG,Z¬œŒƒ√,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZV2PRA2,Z¬2œ–¿2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X4KY03,’4 ”03,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZPK1BXP1,Zœ 1¡’œ1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X4KY1E,’4 ”1E,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X1KY28,’1 ”28,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X1KY06,’1 ”06,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZZTREV,Z«“–≈¬,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.HVM3,H¬Ã3,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.FSPY,F—œ”,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X5KY0C,’5 ”0C,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.SSTT1,S—““1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.FKO,F Œ,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1._ZGK1,_Z√ 1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H6232,H6232,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__VVIPD,__VVIPD,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H625E,H625E,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__OND3,__OND3,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H6254,H6254,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__VDND2,__VDND2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H624D,H624D,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H6243,H6243,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRKAD,’– AD,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__HTTREV,__HTTREV,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__STRNSO,__STRNSO,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.SRRY,S––”,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X061_36,’061_36,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X061_25,’061_25,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X061_14,’061_14,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X061_6,’061_6,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X066_1,’066_1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X065_2,’065_2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YVYDM1,”¬”ƒÃ1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X064_28,’064_28,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YVBYD1M,”¬¡”ƒ1Ã,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X064_17,’064_17,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X064_3,’064_3,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X060_35,’060_35,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X060_24,’060_24,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X060_13,’060_13,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YVBYP21,”¬¡”œ21,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YPZV3P,”œ«¬3œ,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X051_26,’051_26,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YVKLD4,”¬ Àƒ4,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X050_36,’050_36,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YVPODG,”¬œŒƒ√,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X050_25,’050_25,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YOPDO,”ŒœƒŒ,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X050_14,’050_14,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YDND5,”ƒÕƒ5,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X049_40,’049_40,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRD1D1R,’–ƒ1ƒ1–,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YONGDK1,”ŒÕ√ƒ 1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YNGD5,”Õ√ƒ5,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YNGD4R,”Õ√ƒ4–,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YONGD2,”ŒÕ√ƒ2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X044_1,’044_1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YKYD1,” ”ƒ1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YPP2_TM,”œœ2_“Ã,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X031_17,’031_17,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.Y1OTPP,”1Œ“œœ,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X028_41,’028_41,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X028_30,’028_30,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XBOPP,’¡Œœœ,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XSZRY2,’—«–”2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRPZY2,’–œ«”2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YROBIVKTM,”–Œ¡»¬ “Ã,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X020_28,’020_28,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YNK3B,”Õ 3¡,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XNK2B,’Õ 2¡,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YNK2A,”Õ 2¿,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X020_3,’020_3,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XNK1A,’Õ 1A,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X018_31,’018_31,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X016_40,’016_40,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YOTKLRTM,”Œ“ À–“Ã,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.Y3,”3,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X011_19,’011_19,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X1KY29,’1 ”29,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X011_1,’011_1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H324A,H324A,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X3KY49,’3 ”49,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H3240,H3240,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X3KY38,’3 ”38,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H3251,H3251,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRK69,X– 69,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRK58,X– 58,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H228D,H228D,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H227C,H227C,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H226B,H226B,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H2261,H2261,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X4KY15,’4 ”15,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRKB4,X– B4,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZDNS2,ZƒÕ—2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X3KY16,’3 ”16,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X3KY0F,’3 ”0F,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZGK1,Z√ 1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X3KY05,’3 ”05,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X2KY39,’2 ”39,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZVKLD5,Z¬ Àƒ5,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZDND4,ZƒÕƒ4,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X2KY06,’2 ”06,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X2KY17,’2 ”17,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZKPROJ,Z œ–Œ∆,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X4KY04,’4 ”04,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZPK1BXP2,Zœ 1¡’œ2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZPK2BXP1,Zœ 2¡’œ1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZPK2BXP,Zœ 2¡’œ,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZTM34,Z“Ã34,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YPTM3,”œ“Ã3,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZTM12,Z“Ã12,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZOTM1,ZŒ“Ã1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X1KY07,’1 ”07,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X1KY18,’1 ”18,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XONKY,’ŒÕ ”,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.HVM4,H¬Ã4,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZTSY2,Z“—”2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.SSTT2,S—““2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X5KY0D,’5 ”0D,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZMREK1,ZÃ–› 1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1._ZGK2,_Z√ 2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__STVGK1,__STVGK1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H6200,H6200,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__ATRNSO,__ATRNSO,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H62A0,H62A0,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__OGK1,__OGK1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H625F,H625F,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__OND4,__OND4,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H6255,H6255,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__VDND3,__VDND3,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H624E,H624E,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H620A,H620A,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H6244,H6244,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H6233,H6233,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__RRU,__RRU,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.ZTRRY_,Z“––”_,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X061_37,’061_37,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X061_26,’061_26,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X061_15,’061_15,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X067_1,’067_1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X066_2,’066_2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X065_3,’065_3,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YVYDM2,”¬”ƒÃ2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X064_29,’064_29,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X064_4,’064_4,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X060_36,’060_36,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X060_25,’060_25,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X060_14,’060_14,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YVBYP22,”¬¡”œ22,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YVBYP11,”¬¡”œ11,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YGK3M,”√ 3Ã,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YMDNS,”ÃƒÕ—,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YPZV2P,”œ«¬2œ,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X056_1,’056_1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X051_38,’051_38,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X051_27,’051_27,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YVKLD5,”¬ Àƒ5,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X050_37,’050_37,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YKPROJ,” œ–Œ∆,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X050_26,’050_26,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YPND1,”œÕƒ1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X050_15,’050_15,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YDND6,”ƒÕƒ6,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X049_41,’049_41,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X049_30,’049_30,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YKYBXP1,” ”¡’œ1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YONGDK2,”ŒÕ√ƒ 2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YNGD6,”Õ√ƒ6,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YONGD3,”ŒÕ√ƒ3,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YNGD3R,”Õ√ƒ3–,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X045_1,’045_1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X044_2,’044_2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YKYD2,” ”ƒ2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YPP1_TM,”œœ1_“Ã,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X034_1,’034_1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X031_18,’031_18,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X031_4,’031_4,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YPTM4,”œ“Ã4,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X028_31,’028_31,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X028_20,’028_20,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X022_2,’022_2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YRRYBYTM,”––”¡”“Ã,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X020_29,’020_29,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YNK2B,”Õ 2¡,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X020_4,’020_4,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XNK1B,’Õ 1¡,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X019_22,’019_22,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YRASO,”–¿—Œ,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X018_32,’018_32,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X016_41,’016_41,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X016_30,’016_30,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YOTKLBRK,”Œ“ À¡– ,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.Y4,”4,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X012_1,’012_1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X011_2,’011_2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X008_33,’008_33,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X008_22,’008_22,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YMREK1,”Ã–› 1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X008_11,’008_11,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H324B,H324B,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H3241,H3241,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H323A,H323A,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X3KY39,’3 ”39,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H3230,H3230,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H3252,H3252,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRK59,X– 59,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H2262,H2262,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H227D,H227D,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRK48,X– 48,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRKB5,X– B5,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X4KY16,’4 ”16,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X1KY19,’1 ”19,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRK37,X– 37,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H5210,H5210,BOOL,,,1,0,""
